brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Apple,2020-10-31,0.028441458366143948,0.8734761513712962,0.09808113033500575,22.48,77.52,55.03999999999999
Coca-Cola,2019-07-31,0.02408137664844001,0.8526114506272112,0.12330459954969443,16.34,83.66,67.32
Coca-Cola,2019-08-31,0.02562144666479032,0.8836743596960316,0.09070785251899803,22.02,77.98,55.96000000000001
Coca-Cola,2019-09-30,0.02264684287812041,0.881446402349486,0.09590748898678414,19.1,80.9,61.800000000000004
Coca-Cola,2019-10-31,0.032590941768511864,0.8546153846153846,0.11279870596693026,22.42,77.58,55.16
Coca-Cola,2019-11-30,0.0317366269165247,0.8641192504258944,0.10414548551959113,23.36,76.64,53.28
Coca-Cola,2019-12-31,0.02953701697363669,0.8540140845070422,0.11644781509570243,20.23,79.77,59.53999999999999
Coca-Cola,2020-01-31,0.0362788785046729,0.8626912149532711,0.10102803738317757,26.42,73.58,47.16
Coca-Cola,2020-02-29,0.02877927548441449,0.8583643639427128,0.11286689132266219,20.32,79.68,59.36000000000001
Coca-Cola,2020-03-31,0.032637471783295714,0.8596248306997742,0.10774627539503386,23.25,76.75,53.5
Coca-Cola,2020-04-30,0.03018626482213439,0.8641645256916995,0.10564130434782609,22.22,77.78,55.56
Coca-Cola,2020-05-31,0.02456824034334764,0.8527618025751073,0.12266437768240343,16.69,83.31,66.62
Coca-Cola,2020-06-30,0.04020342279268767,0.8622380396732788,0.09756164916374951,29.18,70.82,41.63999999999999
Coca-Cola,2020-07-31,0.02954531001589825,0.8620592209856915,0.1083970588235294,21.42,78.58,57.16
Coca-Cola,2020-08-31,0.02735094796288826,0.8703303751512707,0.10231948366276725,21.09,78.91,57.81999999999999
Coca-Cola,2020-09-30,0.02885935935935936,0.8715105105105105,0.09962912912912913,22.46,77.54,55.080000000000005
Coca-Cola,2020-10-31,0.03138622891016872,0.8617273141814865,0.10689010487916097,22.7,77.3,54.599999999999994
HM,2019-07-31,0.006994678155093766,0.7437318803852002,0.249272174353776,2.73,97.27,94.53999999999999
HM,2019-08-31,0.008563760019431625,0.7472732572261355,0.2441658974981783,3.39,96.61,93.22
HM,2019-09-30,0.00994440344403444,0.7458391143911439,0.24421771217712177,3.91,96.09,92.18
HM,2019-10-31,0.0073590490053372145,0.7407205240174672,0.251919941775837,2.84,97.16,94.32
HM,2019-11-30,0.013953977272727274,0.7921789772727273,0.19386420454545455,6.71,93.29,86.58000000000001
HM,2019-12-31,0.030577032810271042,0.8463238231098431,0.12309129814550643,19.9,80.1,60.199999999999996
HM,2020-01-31,0.022753722794959907,0.8126273386788851,0.16461779305078275,12.14,87.86,75.72
HM,2020-02-29,0.011324045695179717,0.741125940373363,0.24755057118974644,4.37,95.63,91.25999999999999
HM,2020-03-31,0.00960559646539028,0.7369119293078057,0.2534818851251841,3.65,96.35,92.69999999999999
HM,2020-04-30,0.008841214057507988,0.7303821086261981,0.2607741214057508,3.28,96.72,93.44
HM,2020-05-31,0.010268862612612614,0.7339642454954955,0.255763231981982,3.86,96.14,92.28
HM,2020-06-30,0.013565650969529086,0.7355750692520775,0.25086038781163433,5.13,94.87,89.74000000000001
HM,2020-07-31,0.008386363636363636,0.7378544226044227,0.25375767813267813,3.2,96.8,93.6
