date,sentiment_neg,sentiment_neu,sentiment_pos
2019-08-31 13:54:09+00:00,"0,0","1,0","0,0"
2019-08-31 13:53:39+00:00,"0,0","0,761","0,239"
2019-08-31 13:51:18+00:00,"0,079","0,921","0,0"
2019-08-31 13:41:00+00:00,"0,0","0,909","0,091"
2019-08-31 13:38:25+00:00,"0,0","1,0","0,0"
2019-08-31 13:35:04+00:00,"0,0","0,782","0,218"
2019-08-31 13:24:17+00:00,,,
2019-08-31 13:23:29+00:00,,,
2019-08-31 13:21:58+00:00,"0,0","1,0","0,0"
2019-08-31 13:20:14+00:00,"0,0","0,877","0,123"
2019-08-31 13:20:03+00:00,,,
2019-08-31 13:13:15+00:00,"0,215","0,785","0,0"
2019-08-31 13:12:46+00:00,"0,075","0,658","0,267"
2019-08-31 13:10:10+00:00,,,
2019-08-31 13:07:00+00:00,"0,081","0,883","0,036"
2019-08-31 13:04:31+00:00,,,
2019-08-31 13:01:41+00:00,"0,0","0,891","0,109"
2019-08-31 13:00:40+00:00,"0,066","0,855","0,078"
2019-08-31 12:55:13+00:00,"0,0","0,606","0,394"
2019-08-31 12:51:21+00:00,"0,0","1,0","0,0"
2019-08-31 12:50:54+00:00,"0,0","1,0","0,0"
2019-08-31 12:49:58+00:00,,,
2019-08-31 12:47:32+00:00,"0,0","0,789","0,211"
2019-08-31 12:45:04+00:00,"0,0","0,737","0,263"
2019-08-31 12:40:27+00:00,"0,243","0,591","0,166"
2019-08-31 12:29:09+00:00,"0,0","0,799","0,201"
2019-08-31 12:27:57+00:00,,,
2019-08-31 12:16:25+00:00,"0,151","0,769","0,079"
2019-08-31 12:14:19+00:00,"0,118","0,882","0,0"
2019-08-31 12:07:45+00:00,,,
2019-08-31 12:07:01+00:00,"0,0","0,881","0,119"
2019-08-31 12:04:55+00:00,"0,0","0,82","0,18"
2019-08-31 12:01:04+00:00,"0,0","0,58","0,42"
2019-08-31 11:56:56+00:00,"0,075","0,745","0,18"
2019-08-31 11:55:09+00:00,"0,0","0,735","0,265"
2019-08-31 11:47:00+00:00,,,
2019-08-31 11:33:05+00:00,"0,081","0,829","0,09"
2019-08-31 11:21:41+00:00,"0,0","0,483","0,517"
2019-08-31 11:19:06+00:00,"0,0","1,0","0,0"
2019-08-31 11:12:50+00:00,,,
2019-08-31 11:07:47+00:00,,,
2019-08-31 11:01:17+00:00,,,
2019-08-31 10:53:17+00:00,"0,0","0,655","0,345"
2019-08-31 10:48:03+00:00,,,
2019-08-31 10:45:56+00:00,,,
2019-08-31 10:43:20+00:00,,,
2019-08-31 10:35:26+00:00,"0,0","0,691","0,309"
2019-08-31 10:34:34+00:00,"0,147","0,805","0,048"
2019-08-31 10:30:17+00:00,"0,0","0,86","0,14"
2019-08-31 10:29:33+00:00,"0,0","1,0","0,0"
2019-08-31 10:19:47+00:00,,,
2019-08-31 10:19:46+00:00,,,
2019-08-31 10:16:10+00:00,"0,0","0,901","0,099"
2019-08-31 10:16:10+00:00,"0,0","0,859","0,141"
2019-08-31 10:04:33+00:00,,,
2019-08-31 09:53:14+00:00,"0,0","0,871","0,129"
2019-08-31 09:51:02+00:00,"0,0","1,0","0,0"
2019-08-31 09:50:12+00:00,,,
2019-08-31 09:30:07+00:00,,,
2019-08-31 09:24:01+00:00,"0,0","0,678","0,322"
2019-08-31 09:18:43+00:00,"0,0","0,486","0,514"
2019-08-31 09:03:23+00:00,,,
2019-08-31 09:03:19+00:00,,,
2019-08-31 09:03:17+00:00,,,
2019-08-31 09:00:32+00:00,"0,0","1,0","0,0"
2019-08-31 08:58:11+00:00,"0,0","0,763","0,237"
2019-08-31 08:52:38+00:00,"0,0","0,759","0,241"
2019-08-31 08:48:36+00:00,,,
2019-08-31 08:45:04+00:00,,,
2019-08-31 08:42:59+00:00,,,
2019-08-31 08:30:03+00:00,"0,142","0,858","0,0"
2019-08-31 08:29:06+00:00,"0,0","1,0","0,0"
2019-08-31 08:22:47+00:00,,,
2019-08-31 08:17:48+00:00,,,
2019-08-31 08:17:11+00:00,"0,16","0,84","0,0"
2019-08-31 08:15:48+00:00,"0,0","0,853","0,147"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-08-31 08:13:19+00:00,"0,0","1,0","0,0"
2019-08-31 08:11:17+00:00,"0,0","1,0","0,0"
2019-08-31 08:08:21+00:00,"0,0","1,0","0,0"
2019-08-31 08:07:48+00:00,"0,0","1,0","0,0"
2019-08-31 08:06:37+00:00,,,
2019-08-31 08:05:35+00:00,"0,0","1,0","0,0"
2019-08-31 08:04:00+00:00,"0,0","1,0","0,0"
2019-08-31 08:02:11+00:00,"0,0","1,0","0,0"
2019-08-31 08:00:30+00:00,,,
2019-08-31 07:58:10+00:00,"0,0","1,0","0,0"
2019-08-31 07:56:15+00:00,"0,0","1,0","0,0"
2019-08-31 07:56:13+00:00,"0,0","0,634","0,366"
2019-08-31 07:55:00+00:00,"0,0","0,792","0,208"
2019-08-31 07:50:18+00:00,"0,155","0,845","0,0"
2019-08-31 07:41:12+00:00,"0,0","1,0","0,0"
2019-08-31 07:38:44+00:00,"0,145","0,855","0,0"
2019-08-31 07:25:33+00:00,"0,052","0,835","0,113"
2019-08-31 07:15:08+00:00,"0,0","0,542","0,458"
2019-08-31 07:10:03+00:00,,,
2019-08-31 07:08:34+00:00,"0,121","0,879","0,0"
2019-08-31 07:07:04+00:00,"0,0","1,0","0,0"
2019-08-31 07:04:38+00:00,,,
2019-08-31 07:03:25+00:00,"0,18","0,756","0,064"
2019-08-31 07:02:34+00:00,"0,0","0,853","0,147"
2019-08-31 07:02:10+00:00,"0,0","0,688","0,312"
2019-08-31 07:00:00+00:00,"0,0","0,849","0,151"
2019-08-31 06:48:07+00:00,"0,074","0,926","0,0"
2019-08-31 06:47:03+00:00,"0,136","0,864","0,0"
2019-08-31 06:46:01+00:00,"0,077","0,923","0,0"
2019-08-31 06:42:20+00:00,"0,174","0,826","0,0"
2019-08-31 06:41:37+00:00,"0,057","0,814","0,13"
2019-08-31 06:41:01+00:00,"0,077","0,923","0,0"
2019-08-31 06:40:42+00:00,"0,0","0,887","0,113"
2019-08-31 06:39:30+00:00,"0,0","1,0","0,0"
2019-08-31 06:35:13+00:00,"0,2","0,8","0,0"
2019-08-31 06:33:12+00:00,,,
2019-08-31 06:32:53+00:00,"0,0","0,704","0,296"
2019-08-31 06:28:49+00:00,"0,144","0,856","0,0"
2019-08-31 06:22:14+00:00,"0,0","0,822","0,178"
2019-08-31 06:16:30+00:00,,,
2019-08-31 06:15:15+00:00,"0,0","0,861","0,139"
2019-08-31 06:05:25+00:00,"0,0","1,0","0,0"
2019-08-31 05:54:40+00:00,"0,0","0,502","0,498"
2019-08-31 05:48:27+00:00,"0,0","1,0","0,0"
2019-08-31 05:33:16+00:00,"0,0","1,0","0,0"
2019-08-31 05:22:28+00:00,"0,056","0,78","0,164"
2019-08-31 05:21:18+00:00,"0,0","1,0","0,0"
2019-08-31 05:12:41+00:00,"0,0","1,0","0,0"
2019-08-31 04:45:32+00:00,"0,0","0,894","0,106"
2019-08-31 04:41:00+00:00,,,
2019-08-31 04:12:19+00:00,"0,0","1,0","0,0"
2019-08-31 04:06:45+00:00,,,
2019-08-31 03:58:55+00:00,"0,2","0,8","0,0"
2019-08-31 03:57:38+00:00,"0,0","0,897","0,103"
2019-08-31 03:55:02+00:00,,,
2019-08-31 03:51:48+00:00,"0,0","1,0","0,0"
2019-08-31 03:34:06+00:00,"0,0","0,824","0,176"
2019-08-31 03:24:24+00:00,"0,125","0,875","0,0"
2019-08-31 03:21:03+00:00,,,
2019-08-31 03:19:20+00:00,"0,072","0,928","0,0"
2019-08-31 03:14:23+00:00,,,
2019-08-31 03:05:35+00:00,"0,0","0,87","0,13"
2019-08-31 03:04:26+00:00,,,
2019-08-31 03:04:01+00:00,"0,0","1,0","0,0"
2019-08-31 03:00:50+00:00,"0,0","1,0","0,0"
2019-08-31 02:58:50+00:00,"0,076","0,791","0,134"
2019-08-31 02:58:39+00:00,"0,0","1,0","0,0"
2019-08-31 02:52:36+00:00,"0,0","0,748","0,252"
2019-08-31 02:41:01+00:00,"0,208","0,738","0,054"
2019-08-31 02:33:22+00:00,"0,281","0,719","0,0"
2019-08-31 02:21:20+00:00,,,
2019-08-31 02:16:22+00:00,"0,137","0,664","0,199"
2019-08-31 02:08:36+00:00,"0,0","0,595","0,405"
2019-08-31 02:07:18+00:00,,,
2019-08-31 02:04:35+00:00,"0,0","0,923","0,077"
2019-08-31 02:00:12+00:00,,,
2019-08-31 01:55:11+00:00,"0,0","1,0","0,0"
2019-08-31 01:34:55+00:00,"0,056","0,78","0,164"
2019-08-31 01:28:27+00:00,,,
2019-08-31 01:09:31+00:00,"0,0","0,768","0,232"
2019-08-31 01:08:20+00:00,"0,0","1,0","0,0"
2019-08-31 01:08:05+00:00,"0,0","0,749","0,251"
2019-08-31 01:04:31+00:00,,,
2019-08-31 00:53:04+00:00,"0,091","0,642","0,268"
2019-08-31 00:38:26+00:00,"0,0","0,521","0,479"
2019-08-31 00:37:59+00:00,"0,0","0,887","0,113"
2019-08-31 00:37:27+00:00,"0,0","0,709","0,291"
2019-08-31 00:31:30+00:00,,,
2019-08-31 00:29:24+00:00,,,
2018-08-16 04:00:39+00:00,"0,0","0,635","0,365"
2019-08-31 00:20:54+00:00,,,
2019-08-31 00:02:39+00:00,,,
2019-08-30 23:54:12+00:00,,,
2019-08-30 23:53:08+00:00,"0,0","0,844","0,156"
2019-08-30 23:45:55+00:00,"0,239","0,704","0,056"
2019-08-30 23:40:28+00:00,"0,226","0,673","0,101"
2019-08-30 23:32:03+00:00,"0,053","0,705","0,242"
2019-08-30 23:00:18+00:00,,,
2019-08-30 22:50:08+00:00,"0,0","0,601","0,399"
2019-08-30 22:46:14+00:00,"0,0","0,78","0,22"
2019-08-30 22:39:59+00:00,"0,0","0,784","0,216"
2019-08-30 22:38:36+00:00,"0,0","0,825","0,175"
2019-08-30 22:31:51+00:00,"0,0","0,843","0,157"
