brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Nike,2020-06-26,0.034,0.821,0.144,19.1,80.9,61.800000000000004
Nike,2020-06-27,0.02,0.831,0.149,11.83,88.17,76.34
Nike,2020-06-28,0.026,0.811,0.163,13.76,86.24,72.47999999999999
Nike,2020-06-29,0.024,0.822,0.154,13.48,86.52,73.03999999999999
Nike,2020-06-30,0.022,0.823,0.155,12.43,87.57,75.13999999999999
Nike,2020-07-01,0.025,0.836,0.139,15.24,84.76,69.52000000000001
Nike,2020-07-02,0.028,0.897,0.075,27.18,72.82,45.63999999999999
Nike,2020-07-03,0.048,0.873,0.078,38.1,61.9,23.799999999999997
Nike,2020-07-04,0.024,0.846,0.13,15.58,84.42,68.84
Nike,2020-07-05,0.025,0.828,0.147,14.53,85.47,70.94
Nike,2020-07-06,0.021,0.825,0.154,12.0,88.0,76.0
Nike,2020-07-07,0.028,0.813,0.159,14.97,85.03,70.06
Nike,2020-07-08,0.033,0.82,0.147,18.33,81.67,63.34
Nike,2020-07-09,0.021,0.837,0.143,12.8,87.2,74.4
Nike,2020-07-10,0.02,0.813,0.167,10.7,89.3,78.6
Nike,2020-07-11,0.027,0.823,0.15,15.25,84.75,69.5
Nike,2020-07-12,0.02,0.819,0.161,11.05,88.95,77.9
Nike,2020-07-13,0.023,0.83,0.147,13.53,86.47,72.94
Nike,2020-07-14,0.024,0.828,0.148,13.95,86.05,72.1
Nike,2020-07-15,0.023,0.825,0.152,13.14,86.86,73.72
Nike,2020-07-16,0.023,0.825,0.152,13.14,86.86,73.72
Nike,2020-07-17,0.025,0.832,0.143,14.88,85.12,70.24000000000001
Nike,2020-07-18,0.021,0.816,0.163,11.41,88.59,77.18
Nike,2020-07-19,0.018,0.819,0.163,9.94,90.06,80.12
Nike,2020-07-20,0.018,0.837,0.144,11.11,88.89,77.78
Nike,2020-07-21,0.026,0.829,0.145,15.2,84.8,69.6
Nike,2020-07-22,0.027,0.829,0.143,15.88,84.12,68.24000000000001
Nike,2020-07-23,0.026,0.84,0.134,16.25,83.75,67.5
Nike,2020-07-24,0.028,0.83,0.142,16.47,83.53,67.06
Nike,2020-07-25,0.023,0.825,0.152,13.14,86.86,73.72
Nike,2020-07-26,0.02,0.822,0.157,11.3,88.7,77.4
Nike,2020-07-27,0.022,0.821,0.157,12.29,87.71,75.41999999999999
Nike,2020-07-28,0.022,0.825,0.153,12.57,87.43,74.86000000000001
Nike,2020-07-29,0.022,0.831,0.147,13.02,86.98,73.96000000000001
Nike,2020-07-30,0.028,0.832,0.14,16.67,83.33,66.66
Nike,2020-07-31,0.03,0.798,0.172,14.85,85.15,70.30000000000001
Nike,2020-08-01,0.032,0.817,0.15,17.58,82.42,64.84
Nike,2020-08-02,0.022,0.822,0.156,12.36,87.64,75.28
Nike,2020-08-03,0.022,0.82,0.158,12.22,87.78,75.56
Nike,2020-08-04,0.021,0.836,0.143,12.8,87.2,74.4
Nike,2020-08-05,0.02,0.832,0.148,11.9,88.1,76.19999999999999
Nike,2020-08-06,0.021,0.834,0.145,12.65,87.35,74.69999999999999
Nike,2020-08-07,0.022,0.837,0.141,13.5,86.5,73.0
Nike,2020-08-08,0.021,0.836,0.143,12.8,87.2,74.4
Nike,2020-08-09,0.024,0.824,0.152,13.64,86.36,72.72
Nike,2020-08-10,0.019,0.84,0.141,11.88,88.13,76.25
Nike,2020-08-11,0.02,0.817,0.163,10.93,89.07,78.13999999999999
Nike,2020-08-12,0.018,0.845,0.137,11.61,88.39,76.78
Nike,2020-08-13,0.023,0.849,0.128,15.23,84.77,69.53999999999999
Nike,2020-08-14,0.023,0.845,0.132,14.84,85.16,70.32
Nike,2020-08-15,0.017,0.823,0.16,9.6,90.4,80.80000000000001
Nike,2020-08-16,0.019,0.824,0.157,10.8,89.2,78.4
Nike,2020-08-17,0.02,0.83,0.15,11.76,88.24,76.47999999999999
Nike,2020-08-18,0.021,0.824,0.155,11.93,88.07,76.13999999999999
Nike,2020-08-19,0.018,0.816,0.166,9.78,90.22,80.44
Nike,2020-08-20,0.022,0.817,0.161,12.02,87.98,75.96000000000001
Nike,2020-08-21,0.028,0.803,0.169,14.21,85.79,71.58000000000001
Nike,2020-08-22,0.023,0.806,0.172,11.79,88.21,76.41999999999999
Nike,2020-08-23,0.022,0.817,0.161,12.02,87.98,75.96000000000001
Nike,2020-08-24,0.024,0.823,0.154,13.48,86.52,73.03999999999999
Nike,2020-08-25,0.024,0.825,0.151,13.71,86.29,72.58000000000001
Nike,2020-08-26,0.02,0.829,0.152,11.63,88.37,76.74000000000001
Nike,2020-08-27,0.022,0.812,0.166,11.7,88.3,76.6
Nike,2020-08-28,0.02,0.831,0.149,11.83,88.17,76.34
Nike,2020-08-29,0.023,0.832,0.145,13.69,86.31,72.62
Nike,2020-08-30,0.021,0.84,0.139,13.12,86.88,73.75999999999999
Nike,2020-08-31,0.021,0.837,0.142,12.88,87.12,74.24000000000001
Nike,2020-09-01,0.019,0.858,0.123,13.38,86.62,73.24000000000001
Nike,2020-09-02,0.021,0.825,0.153,12.07,87.93,75.86000000000001
Nike,2020-09-03,0.025,0.839,0.135,15.62,84.38,68.75999999999999
Nike,2020-09-04,0.019,0.82,0.161,10.56,89.44,78.88
Nike,2020-09-05,0.018,0.824,0.158,10.23,89.77,79.53999999999999
Nike,2020-09-06,0.016,0.842,0.142,10.13,89.87,79.74000000000001
Nike,2020-09-07,0.022,0.848,0.131,14.38,85.62,71.24000000000001
Nike,2020-09-08,0.022,0.841,0.137,13.84,86.16,72.32
Nike,2020-09-09,0.021,0.831,0.148,12.43,87.57,75.13999999999999
Nike,2020-09-10,0.022,0.834,0.143,13.33,86.67,73.34
Nike,2020-09-11,0.019,0.834,0.147,11.45,88.55,77.1
Nike,2020-09-12,0.015,0.812,0.173,7.98,92.02,84.03999999999999
Nike,2020-09-13,0.016,0.827,0.156,9.3,90.7,81.4
Nike,2020-09-14,0.014,0.822,0.164,7.87,92.13,84.25999999999999
Nike,2020-09-15,0.015,0.831,0.154,8.88,91.12,82.24000000000001
Nike,2020-09-16,0.018,0.822,0.16,10.11,89.89,79.78
Nike,2020-09-17,0.018,0.838,0.144,11.11,88.89,77.78
Nike,2020-09-18,0.02,0.83,0.15,11.76,88.24,76.47999999999999
Nike,2020-09-19,0.016,0.826,0.157,9.25,90.75,81.5
Nike,2020-09-20,0.016,0.806,0.178,8.25,91.75,83.5
Nike,2020-09-21,0.015,0.824,0.161,8.52,91.48,82.96000000000001
Nike,2020-09-22,0.014,0.828,0.158,8.14,91.86,83.72
Nike,2020-09-23,0.018,0.828,0.154,10.47,89.53,79.06
Nike,2020-09-24,0.017,0.823,0.159,9.66,90.34,80.68
Nike,2020-09-25,0.015,0.818,0.166,8.29,91.71,83.41999999999999
Nike,2020-09-26,0.017,0.833,0.15,10.18,89.82,79.63999999999999
Nike,2020-09-27,0.018,0.825,0.157,10.29,89.71,79.41999999999999
Nike,2020-09-28,0.014,0.807,0.179,7.25,92.75,85.5
Nike,2020-09-29,0.012,0.818,0.169,6.63,93.37,86.74000000000001
Nike,2020-09-30,0.012,0.814,0.174,6.45,93.55,87.1
Nike,2020-10-01,0.016,0.832,0.152,9.52,90.48,80.96000000000001
Nike,2020-10-02,0.013,0.82,0.167,7.22,92.78,85.56
Nike,2020-10-03,0.017,0.832,0.15,10.18,89.82,79.63999999999999
Nike,2020-10-04,0.016,0.802,0.182,8.08,91.92,83.84
Nike,2020-10-05,0.017,0.817,0.166,9.29,90.71,81.41999999999999
Nike,2020-10-06,0.011,0.802,0.186,5.58,94.42,88.84
Nike,2020-10-07,0.016,0.816,0.168,8.7,91.3,82.6
Nike,2020-10-08,0.018,0.817,0.164,9.89,90.11,80.22
Nike,2020-10-09,0.018,0.811,0.171,9.52,90.48,80.96000000000001
Nike,2020-10-10,0.018,0.812,0.17,9.57,90.43,80.86000000000001
Nike,2020-10-11,0.024,0.816,0.16,13.04,86.96,73.91999999999999
Nike,2020-10-12,0.031,0.84,0.128,19.5,80.5,61.0
Nike,2020-10-13,0.026,0.834,0.141,15.57,84.43,68.86000000000001
Nike,2020-10-14,0.015,0.795,0.19,7.32,92.68,85.36000000000001
Nike,2020-10-15,0.014,0.816,0.17,7.61,92.39,84.78
Nike,2020-10-16,0.018,0.825,0.157,10.29,89.71,79.41999999999999
Nike,2020-10-17,0.021,0.825,0.154,12.0,88.0,76.0
Nike,2020-10-18,0.015,0.817,0.168,8.2,91.8,83.6
Nike,2020-10-19,0.016,0.82,0.164,8.89,91.11,82.22
Nike,2020-10-20,0.018,0.823,0.159,10.17,89.83,79.66
Nike,2020-10-21,0.021,0.823,0.155,11.93,88.07,76.13999999999999
Nike,2020-10-22,0.02,0.804,0.176,10.2,89.8,79.6
Nike,2020-10-23,0.018,0.813,0.17,9.57,90.43,80.86000000000001
