brand,Date,bullish,bearish,polarity
Coca-Cola,2020-06-08,16,3,0.68
Coca-Cola,2020-06-09,22,2,0.83
Coca-Cola,2020-06-10,16,1,0.88
Coca-Cola,2020-06-11,18,5,0.57
Coca-Cola,2020-06-12,14,1,0.87
Coca-Cola,2020-06-14,1,1,0.0
Coca-Cola,2020-06-15,21,1,0.91
Coca-Cola,2020-06-16,15,4,0.58
Coca-Cola,2020-06-17,8,1,0.78
Coca-Cola,2020-06-18,10,1,0.82
Coca-Cola,2020-06-19,5,0,1.0
Coca-Cola,2020-06-20,1,1,0.0
Coca-Cola,2020-06-21,2,1,0.33
Coca-Cola,2020-06-22,16,5,0.52
Coca-Cola,2020-06-23,15,1,0.88
Coca-Cola,2020-06-24,8,0,1.0
Coca-Cola,2020-06-25,18,2,0.8
Coca-Cola,2020-06-26,11,0,1.0
Coca-Cola,2020-06-27,10,7,0.18
Coca-Cola,2020-06-28,5,0,1.0
Coca-Cola,2020-06-29,8,2,0.6
Coca-Cola,2020-06-30,17,1,0.89
Coca-Cola,2020-07-01,19,0,1.0
Coca-Cola,2020-07-02,12,2,0.71
Coca-Cola,2020-07-03,2,0,1.0
Coca-Cola,2020-07-05,4,0,1.0
Coca-Cola,2020-07-06,22,0,1.0
Coca-Cola,2020-07-07,14,0,1.0
Coca-Cola,2020-07-08,12,1,0.85
Coca-Cola,2020-07-09,14,3,0.65
Coca-Cola,2020-07-10,25,0,1.0
Coca-Cola,2020-07-11,2,1,0.33
Coca-Cola,2020-07-12,3,1,0.5
Coca-Cola,2020-07-13,20,0,1.0
Coca-Cola,2020-07-14,19,0,1.0
Coca-Cola,2020-07-15,25,4,0.72
Coca-Cola,2020-07-16,8,1,0.78
Coca-Cola,2020-07-17,24,1,0.92
Coca-Cola,2020-07-18,10,0,1.0
Coca-Cola,2020-07-19,7,0,1.0
Coca-Cola,2020-07-20,19,1,0.9
Coca-Cola,2020-07-21,75,10,0.76
Coca-Cola,2020-07-22,38,4,0.81
Coca-Cola,2020-07-23,10,1,0.82
Coca-Cola,2020-07-24,8,1,0.78
Coca-Cola,2020-07-25,3,1,0.5
Coca-Cola,2020-07-27,6,0,1.0
Coca-Cola,2020-07-28,10,1,0.82
Coca-Cola,2020-07-29,4,1,0.6
Coca-Cola,2020-07-30,51,6,0.79
Coca-Cola,2020-07-31,17,1,0.89
Coca-Cola,2020-08-01,3,0,1.0
Coca-Cola,2020-08-02,2,0,1.0
Coca-Cola,2020-08-03,17,2,0.79
Coca-Cola,2020-08-04,12,2,0.71
Coca-Cola,2020-08-05,13,0,1.0
Coca-Cola,2020-08-06,11,1,0.83
Coca-Cola,2020-08-07,12,0,1.0
Coca-Cola,2020-08-08,7,0,1.0
Coca-Cola,2020-08-09,3,1,0.5
Coca-Cola,2020-08-10,8,1,0.78
Coca-Cola,2020-08-11,7,0,1.0
Coca-Cola,2020-08-12,7,0,1.0
Coca-Cola,2020-08-13,6,0,1.0
Coca-Cola,2020-08-14,9,2,0.64
Coca-Cola,2020-08-15,0,1,-1.0
Coca-Cola,2020-08-16,1,1,0.0
Coca-Cola,2020-08-17,3,2,0.2
Coca-Cola,2020-08-18,12,1,0.85
Coca-Cola,2020-08-19,12,1,0.85
Coca-Cola,2020-08-20,15,0,1.0
Coca-Cola,2020-08-21,14,0,1.0
Coca-Cola,2020-08-22,1,0,1.0
Coca-Cola,2020-08-23,2,0,1.0
Coca-Cola,2020-08-24,8,0,1.0
Coca-Cola,2020-08-25,16,1,0.88
Coca-Cola,2020-08-26,6,1,0.71
Coca-Cola,2020-08-27,14,0,1.0
Coca-Cola,2020-08-28,24,1,0.92
Coca-Cola,2020-08-29,3,0,1.0
Coca-Cola,2020-08-30,7,2,0.56
Coca-Cola,2020-08-31,11,4,0.47
Coca-Cola,2020-09-01,7,1,0.75
Coca-Cola,2020-09-02,44,1,0.96
Coca-Cola,2020-09-03,26,0,1.0
Coca-Cola,2020-09-04,17,1,0.89
Coca-Cola,2020-09-05,4,0,1.0
Coca-Cola,2020-09-06,5,1,0.67
Coca-Cola,2020-09-07,3,1,0.5
Coca-Cola,2020-09-08,7,0,1.0
Coca-Cola,2020-09-09,13,0,1.0
Coca-Cola,2020-09-10,9,1,0.8
Coca-Cola,2020-09-11,15,0,1.0
Coca-Cola,2020-09-12,1,0,1.0
Coca-Cola,2020-09-13,6,1,0.71
Coca-Cola,2020-09-14,6,2,0.5
Coca-Cola,2020-09-15,5,1,0.67
Coca-Cola,2020-09-16,5,0,1.0
Coca-Cola,2020-09-17,4,1,0.6
Coca-Cola,2020-09-18,2,0,1.0
Coca-Cola,2020-09-19,2,0,1.0
Coca-Cola,2020-09-21,9,0,1.0
Coca-Cola,2020-09-22,6,4,0.2
Coca-Cola,2020-09-23,10,0,1.0
Coca-Cola,2020-09-24,8,0,1.0
Coca-Cola,2020-09-25,7,1,0.75
Coca-Cola,2020-09-26,3,0,1.0
Coca-Cola,2020-09-27,4,0,1.0
Coca-Cola,2020-09-28,4,0,1.0
Coca-Cola,2020-09-29,11,1,0.83
Coca-Cola,2020-09-30,3,3,0.0
Coca-Cola,2020-10-01,11,0,1.0
Coca-Cola,2020-10-02,6,0,1.0
Coca-Cola,2020-10-04,1,0,1.0
Coca-Cola,2020-10-05,6,0,1.0
Coca-Cola,2020-10-06,4,0,1.0
Coca-Cola,2020-10-07,3,0,1.0
Coca-Cola,2020-10-08,6,1,0.71
Coca-Cola,2020-10-09,3,1,0.5
Coca-Cola,2020-10-10,1,0,1.0
Coca-Cola,2020-10-11,0,1,-1.0
Coca-Cola,2020-10-12,5,1,0.67
Coca-Cola,2020-10-13,12,0,1.0
Coca-Cola,2020-10-14,8,0,1.0
Coca-Cola,2020-10-15,8,2,0.6
Coca-Cola,2020-10-16,12,0,1.0
Coca-Cola,2020-10-17,3,0,1.0
Coca-Cola,2020-10-18,2,1,0.33
Coca-Cola,2020-10-19,25,1,0.92
Coca-Cola,2020-10-20,25,1,0.92
Coca-Cola,2020-10-21,38,0,1.0
Coca-Cola,2020-10-22,102,2,0.96
Coca-Cola,2020-10-23,17,3,0.7
Coca-Cola,2020-10-24,1,0,1.0
Coca-Cola,2020-10-25,1,1,0.0
Coca-Cola,2020-10-26,4,2,0.33
Coca-Cola,2020-10-27,8,1,0.78
Coca-Cola,2020-10-28,5,1,0.67
Coca-Cola,2020-10-29,6,1,0.71
Coca-Cola,2020-10-30,10,2,0.67
Coca-Cola,2020-10-31,2,0,1.0
Coca-Cola,2020-11-01,4,2,0.33
Coca-Cola,2020-11-02,6,1,0.71
Coca-Cola,2020-11-03,7,0,1.0
Coca-Cola,2020-11-04,1,0,1.0
Coca-Cola,2020-11-05,3,1,0.5
Coca-Cola,2020-11-06,5,0,1.0
Coca-Cola,2020-11-08,0,1,-1.0
Coca-Cola,2020-11-09,13,1,0.86
Coca-Cola,2020-11-10,12,1,0.85
Coca-Cola,2020-11-11,11,1,0.83
Coca-Cola,2020-11-12,2,2,0.0
Coca-Cola,2020-11-13,3,3,0.0
Coca-Cola,2020-11-14,5,0,1.0
Coca-Cola,2020-11-15,0,2,-1.0
Coca-Cola,2020-11-16,5,1,0.67
Coca-Cola,2020-11-17,4,0,1.0
Coca-Cola,2020-11-18,3,0,1.0
Coca-Cola,2020-11-19,4,3,0.14
Coca-Cola,2020-11-20,1,0,1.0
Coca-Cola,2020-11-21,1,0,1.0
Coca-Cola,2020-11-22,1,1,0.0
Coca-Cola,2020-11-23,2,1,0.33
Coca-Cola,2020-11-24,1,1,0.0
Coca-Cola,2020-11-25,3,1,0.5
Coca-Cola,2020-11-26,3,1,0.5
Coca-Cola,2020-11-27,5,1,0.67
Coca-Cola,2020-11-28,2,0,1.0
Coca-Cola,2020-11-29,1,1,0.0
Coca-Cola,2020-11-30,5,4,0.11
Coca-Cola,2020-12-01,2,0,1.0
Coca-Cola,2020-12-02,2,1,0.33
Coca-Cola,2020-12-03,3,1,0.5
Coca-Cola,2020-12-04,1,1,0.0
Coca-Cola,2020-12-05,1,0,1.0
Coca-Cola,2020-12-06,1,1,0.0
Coca-Cola,2020-12-07,3,2,0.2
Coca-Cola,2020-12-08,3,0,1.0
Coca-Cola,2020-12-09,3,0,1.0
Coca-Cola,2020-12-10,5,2,0.43
Coca-Cola,2020-12-11,8,0,1.0
Coca-Cola,2020-12-12,2,0,1.0
Coca-Cola,2020-12-13,2,1,0.33
Coca-Cola,2020-12-14,4,1,0.6
Coca-Cola,2020-12-15,5,0,1.0
Coca-Cola,2020-12-16,7,1,0.75
Coca-Cola,2020-12-17,5,1,0.67
Coca-Cola,2020-12-18,2,0,1.0
Coca-Cola,2020-12-19,2,0,1.0
Coca-Cola,2020-12-20,0,1,-1.0
Coca-Cola,2020-12-21,3,2,0.2
Coca-Cola,2020-12-22,2,0,1.0
Coca-Cola,2020-12-23,4,1,0.6
Coca-Cola,2020-12-24,2,3,-0.2
Coca-Cola,2020-12-25,1,0,1.0
Coca-Cola,2020-12-27,2,0,1.0
Coca-Cola,2020-12-28,2,1,0.33
Coca-Cola,2020-12-30,3,0,1.0
Coca-Cola,2020-12-31,1,1,0.0
Coca-Cola,2021-01-02,2,0,1.0
Coca-Cola,2021-01-03,2,0,1.0
Coca-Cola,2021-01-04,13,2,0.73
Coca-Cola,2021-01-05,12,0,1.0
Coca-Cola,2021-01-06,55,6,0.8
Coca-Cola,2021-01-07,77,7,0.83
Coca-Cola,2021-01-08,43,3,0.87
Coca-Cola,2021-01-09,7,0,1.0
Coca-Cola,2021-01-10,2,1,0.33
Coca-Cola,2021-01-11,16,4,0.6
Coca-Cola,2021-01-12,16,1,0.88
Coca-Cola,2021-01-13,11,4,0.47
Coca-Cola,2021-01-14,45,6,0.76
Coca-Cola,2021-01-15,47,1,0.96
Coca-Cola,2021-01-16,14,4,0.56
Coca-Cola,2021-01-17,4,5,-0.11
Coca-Cola,2021-01-18,5,1,0.67
Coca-Cola,2021-01-19,52,3,0.89
Coca-Cola,2021-01-20,88,9,0.81
