brand,Date,tweets_count
Coca-Cola,2020-03-23,944
Coca-Cola,2020-03-30,907
Coca-Cola,2020-04-06,1053
Coca-Cola,2020-04-13,878
Coca-Cola,2020-04-20,1049
Coca-Cola,2020-04-27,1095
Coca-Cola,2020-05-04,1098
Coca-Cola,2020-05-11,894
Coca-Cola,2020-05-18,1038
Coca-Cola,2020-05-25,1125
Coca-Cola,2020-06-01,821
Coca-Cola,2020-06-08,1557
Coca-Cola,2020-06-15,1170
Coca-Cola,2020-06-22,1728
Coca-Cola,2020-06-29,1383
Coca-Cola,2020-07-06,1078
Coca-Cola,2020-07-13,1027
Coca-Cola,2020-07-20,1616
Coca-Cola,2020-07-27,1153
Coca-Cola,2020-08-03,1380
Coca-Cola,2020-08-10,1244
Coca-Cola,2020-08-17,1096
Coca-Cola,2020-08-24,1215
Coca-Cola,2020-08-31,1069
Coca-Cola,2020-09-07,893
Coca-Cola,2020-09-14,829
Coca-Cola,2020-09-21,1161
Coca-Cola,2020-09-28,1303
Coca-Cola,2020-10-05,793
Coca-Cola,2020-10-12,998
Coca-Cola,2020-10-19,1179
Coca-Cola,2020-10-26,1119
HM,2019-07-01,1191
HM,2019-07-08,1246
HM,2019-07-15,1203
HM,2019-07-22,1257
HM,2019-07-29,1339
HM,2019-08-05,1356
HM,2019-08-12,1242
HM,2019-08-19,1294
HM,2019-08-26,1333
HM,2019-09-02,1261
HM,2019-09-09,1314
HM,2019-09-16,1421
HM,2019-09-23,1459
HM,2019-09-30,1282
HM,2019-10-07,1352
HM,2019-10-14,1423
HM,2019-10-21,1212
HM,2019-10-28,1347
HM,2019-11-04,1013
HM,2019-11-11,570
HM,2019-11-18,670
HM,2019-11-25,656
HM,2019-12-02,757
HM,2019-12-09,753
HM,2019-12-16,787
HM,2019-12-23,636
HM,2019-12-30,730
HM,2020-01-06,998
HM,2020-01-13,738
HM,2020-01-20,1141
HM,2020-01-27,1320
HM,2020-02-03,1209
HM,2020-02-10,1166
HM,2020-02-17,1169
HM,2020-02-24,1453
HM,2020-03-02,1321
HM,2020-03-09,1201
HM,2020-03-16,888
HM,2020-03-23,1179
HM,2020-03-30,965
HM,2020-04-06,1029
HM,2020-04-13,1158
HM,2020-04-20,1199
HM,2020-04-27,1264
HM,2020-05-04,1403
HM,2020-05-11,1132
HM,2020-05-18,1411
HM,2020-05-25,1326
HM,2020-06-01,1259
HM,2020-06-08,1282
HM,2020-06-15,1249
HM,2020-06-22,1258
HM,2020-06-29,1020
HM,2020-07-06,1088
HM,2020-07-13,1198
HM,2020-07-20,1148
HM,2020-07-27,1223
HM,2020-08-03,1173
HM,2020-08-10,1201
HM,2020-08-17,1224
HM,2020-08-24,1210
HM,2020-08-31,1201
HM,2020-09-07,1191
HM,2020-09-14,1279
