brand,Date,bullish,bearish,polarity
Pepsi,2020-02-03,9,1,80.0
Pepsi,2020-02-10,23,8,48.39
Pepsi,2020-02-17,8,0,100.0
Pepsi,2020-02-24,12,2,71.43
Pepsi,2020-03-02,19,2,80.95
Pepsi,2020-03-09,9,1,80.0
Pepsi,2020-03-16,9,2,63.64
Pepsi,2020-03-23,14,1,86.67
Pepsi,2020-03-30,16,4,60.0
Pepsi,2020-04-06,3,1,50.0
Pepsi,2020-04-13,23,2,84.0
Pepsi,2020-04-20,17,4,61.9
Pepsi,2020-04-27,49,4,84.91
Pepsi,2020-05-04,5,0,100.0
Pepsi,2020-05-11,13,1,85.71
Pepsi,2020-05-18,34,3,83.78
Pepsi,2020-05-25,45,2,91.49
Pepsi,2020-06-01,32,6,68.42
Pepsi,2020-06-08,38,10,58.33
Pepsi,2020-06-15,15,4,57.89
Pepsi,2020-06-22,16,2,77.78
Pepsi,2020-06-29,12,1,84.62
Pepsi,2020-07-06,59,3,90.32
Pepsi,2020-07-13,73,4,89.61
Pepsi,2020-07-20,16,2,77.78
Pepsi,2020-07-27,25,5,66.67
Pepsi,2020-08-03,12,0,100.0
Pepsi,2020-08-10,12,6,33.33
Pepsi,2020-08-17,7,1,75.0
Pepsi,2020-08-24,35,1,94.44
Pepsi,2020-08-31,49,0,100.0
Pepsi,2020-09-07,12,0,100.0
Pepsi,2020-09-14,14,1,86.67
Pepsi,2020-09-21,15,1,87.5
Pepsi,2020-09-28,154,11,86.67
Pepsi,2020-10-05,20,1,90.48
Pepsi,2020-10-12,12,0,100.0
Pepsi,2020-10-19,3,0,100.0
Pepsi,2020-10-26,11,3,57.14
Pepsi,2020-11-02,12,0,100.0
Pepsi,2020-11-09,22,2,83.33
Pepsi,2020-11-16,13,1,85.71
Pepsi,2020-11-23,20,0,100.0
Pepsi,2020-11-30,24,0,100.0
Pepsi,2020-12-07,18,0,100.0
Pepsi,2020-12-14,9,1,80.0
Pepsi,2020-12-21,7,1,75.0
Pepsi,2020-12-28,7,0,100.0
Pepsi,2021-01-04,32,1,93.94
Pepsi,2021-01-11,25,2,85.19
Pepsi,2021-01-18,7,0,100.0
Pepsi,2021-01-25,28,5,69.7
Pepsi,2021-02-01,16,0,100.0
Pepsi,2021-02-08,76,4,90.0
Pepsi,2021-02-15,53,3,89.29
Pepsi,2021-02-22,46,10,64.29
Pepsi,2021-03-01,6,0,100.0
Starbucks,2020-05-25,24,13,29.73
Starbucks,2020-06-01,104,21,66.4
Starbucks,2020-06-08,189,256,-15.06
Starbucks,2020-06-15,88,46,31.34
Starbucks,2020-06-22,66,49,14.78
Starbucks,2020-06-29,56,13,62.32
Starbucks,2020-07-06,50,14,56.25
Starbucks,2020-07-13,56,29,31.76
Starbucks,2020-07-20,77,12,73.03
Starbucks,2020-07-27,155,127,9.93
Starbucks,2020-08-03,45,11,60.71
Starbucks,2020-08-10,74,12,72.09
Starbucks,2020-08-17,27,10,45.95
Starbucks,2020-08-24,163,22,76.22
Starbucks,2020-08-31,134,9,87.41
Starbucks,2020-09-07,50,21,40.85
Starbucks,2020-09-14,95,47,33.8
Starbucks,2020-09-21,32,6,68.42
Starbucks,2020-09-28,69,2,94.37
Starbucks,2020-10-05,100,8,85.19
Starbucks,2020-10-12,52,2,92.59
Starbucks,2020-10-19,53,4,85.96
Starbucks,2020-10-26,69,26,45.26
Starbucks,2020-11-02,54,7,77.05
Starbucks,2020-11-09,65,19,54.76
Starbucks,2020-11-16,74,29,43.69
Starbucks,2020-11-23,33,6,69.23
Starbucks,2020-11-30,90,11,78.22
Starbucks,2020-12-07,232,19,84.86
Starbucks,2020-12-14,66,8,78.38
Starbucks,2020-12-21,54,5,83.05
Starbucks,2020-12-28,70,2,94.44
Starbucks,2021-01-04,66,7,80.82
Starbucks,2021-01-11,60,4,87.5
Starbucks,2021-01-18,47,13,56.67
Starbucks,2021-01-25,242,29,78.6
Starbucks,2021-02-01,116,30,58.9
Starbucks,2021-02-08,78,9,79.31
Starbucks,2021-02-15,41,4,82.22
Starbucks,2021-02-22,100,3,94.17
Starbucks,2021-03-01,38,2,90.0
