brand,Date,bullish,bearish
Nike,2020-11-07,12,12
Nike,2020-11-08,11,11
Nike,2020-11-09,25,25
Nike,2020-11-10,21,21
Nike,2020-11-11,23,23
Nike,2020-11-12,55,55
Nike,2020-11-13,19,19
Nike,2020-11-14,6,6
Nike,2020-11-15,13,13
Nike,2020-11-16,25,25
Nike,2020-11-17,41,41
Nike,2020-11-18,23,23
Nike,2020-11-19,27,27
Nike,2020-11-20,65,65
Nike,2020-11-21,13,13
Nike,2020-11-22,11,11
Nike,2020-11-23,25,25
Nike,2020-11-24,31,31
Nike,2020-11-25,21,21
Nike,2020-11-26,11,11
Nike,2020-11-27,20,20
Nike,2020-11-28,13,13
Nike,2020-11-29,7,7
Nike,2020-11-30,25,25
Nike,2020-12-01,31,31
Nike,2020-12-02,42,42
Nike,2020-12-03,25,25
Nike,2020-12-04,27,27
Nike,2020-12-05,15,15
Nike,2020-12-06,5,5
Nike,2020-12-07,32,32
Nike,2020-12-08,38,38
Nike,2020-12-09,32,32
Nike,2020-12-10,36,36
Nike,2020-12-11,45,45
Nike,2020-12-12,14,14
Nike,2020-12-13,23,23
Nike,2020-12-14,50,50
Nike,2020-12-15,79,79
Nike,2020-12-16,69,69
Nike,2020-12-17,94,94
Nike,2020-12-18,459,459
Nike,2020-12-19,88,88
Nike,2020-12-20,40,40
Nike,2020-12-21,237,237
Nike,2020-12-22,56,56
Nike,2020-12-23,49,49
Nike,2020-12-24,38,38
Nike,2020-12-25,4,4
Nike,2020-12-26,5,5
Nike,2020-12-27,10,10
Nike,2020-12-28,32,32
Nike,2020-12-29,38,38
Nike,2020-12-30,35,35
Nike,2020-12-31,39,39
Nike,2021-01-01,9,9
Nike,2021-01-02,8,8
Nike,2021-01-03,11,11
Nike,2021-01-04,23,23
Nike,2021-01-05,23,23
Nike,2021-01-06,32,32
Nike,2021-01-07,25,25
Nike,2021-01-08,15,15
Nike,2021-01-09,24,24
Nike,2021-01-10,14,14
Nike,2021-01-11,20,20
Nike,2021-01-12,23,23
Nike,2021-01-13,22,22
Nike,2021-01-14,24,24
Nike,2021-01-15,34,34
Nike,2021-01-16,9,9
Nike,2021-01-17,12,12
Nike,2021-01-18,12,12
Nike,2021-01-19,29,29
Nike,2021-01-20,30,30
Nike,2021-01-21,19,19
Nike,2021-01-22,19,19
Nike,2021-01-23,9,9
Nike,2021-01-24,10,10
Nike,2021-01-25,35,35
Nike,2021-01-26,36,36
Nike,2021-01-27,42,42
Nike,2021-01-28,39,39
Nike,2021-01-29,28,28
Nike,2021-01-30,7,7
Nike,2021-01-31,13,13
Nike,2021-02-01,31,31
Nike,2021-02-02,43,43
Nike,2021-02-03,27,27
Nike,2021-02-04,33,33
Nike,2021-02-05,44,44
Nike,2021-02-06,18,18
Nike,2021-02-07,30,30
Nike,2021-02-08,38,38
Nike,2021-02-09,24,24
Nike,2021-02-10,31,31
Nike,2021-02-11,39,39
Nike,2021-02-12,23,23
Nike,2021-02-13,11,11
Nike,2021-02-14,18,18
Nike,2021-02-15,14,14
Nike,2021-02-16,25,25
Nike,2021-02-17,27,27
Nike,2021-02-18,46,46
Nike,2021-02-19,39,39
Nike,2021-02-20,9,9
Nike,2021-02-21,34,34
Nike,2021-02-22,26,26
Nike,2021-02-23,41,41
Nike,2021-02-24,38,38
Nike,2021-02-25,42,42
Nike,2021-02-26,32,32
Nike,2021-02-27,13,13
Nike,2021-02-28,4,4
Nike,2021-03-01,38,38
Nike,2021-03-02,40,40
Nike,2021-03-03,26,26
Nike,2021-03-04,38,38
Nike,2021-03-05,19,19
Nike,2021-03-06,11,11
Nike,2021-03-07,9,9
Nike,2021-03-08,17,17
Nike,2021-03-09,35,35
Nike,2021-03-10,21,21
Nike,2021-03-11,42,42
Nike,2021-03-12,37,37
Nike,2021-03-13,18,18
Nike,2021-03-14,15,15
Nike,2021-03-15,54,54
Nike,2021-03-16,55,55
Nike,2021-03-17,46,46
Nike,2021-03-18,185,185
Nike,2021-03-19,270,270
Nike,2021-03-20,31,31
Nike,2021-03-21,25,25
Nike,2021-03-22,73,73
Nike,2021-03-23,49,49
Nike,2021-03-24,54,54
Nike,2021-03-25,288,288
Nike,2021-03-26,130,130
Nike,2021-03-27,32,32
Nike,2021-03-28,19,19
Nike,2021-03-29,60,60
Nike,2021-03-30,59,59
Nike,2021-03-31,43,43
Nike,2021-04-01,31,31
Nike,2021-04-02,24,24
Nike,2021-04-03,12,12
Nike,2021-04-04,8,8
Nike,2021-04-05,26,26
Nike,2021-04-06,28,28
Nike,2021-04-07,32,32
Nike,2021-04-08,32,32
Nike,2021-04-09,25,25
Nike,2021-04-10,9,9
Nike,2021-04-11,8,8
Nike,2021-04-12,41,41
Nike,2021-04-13,53,53
Nike,2021-04-14,43,43
Nike,2021-04-15,17,17
Nike,2021-04-16,36,36
Nike,2021-04-17,9,9
Nike,2021-04-18,6,6
Nike,2021-04-19,30,30
Nike,2021-04-20,90,90
Nike,2021-04-21,69,69
Nike,2021-04-22,52,52
Nike,2021-04-23,60,60
Nike,2021-04-24,9,9
Nike,2021-04-25,18,18
