brand,Date,bullish,bearish,polarity
Nike,2020-04-30,55,40,15.79
Nike,2020-05-31,122,75,23.86
Nike,2020-06-30,423,378,5.62
Nike,2020-07-31,105,97,3.96
Nike,2020-08-31,190,55,55.1
Nike,2020-09-30,666,509,13.36
Nike,2020-10-31,134,78,26.42
Nike,2020-11-30,87,17,67.31
Nike,2020-12-31,559,92,71.74
Nike,2021-01-31,170,22,77.08
Nike,2021-02-28,169,26,73.33
Nike,2021-03-31,366,155,40.5
Nike,2021-04-30,130,65,33.33
