exemplar	corr	n_followers
vandanashethrd	0.798252	1126
elanard	0.800361	1808
jennifervagios	0.730661	2704
daninierenberg	0.430178	50000
melissamcewen	0.621069	8061
nourishrds	0.803247	1405
jessmariehealth	0.627657	5242
eartheats	0.188318	50000
gscalpird_cde	0.782742	1156
dianeboydrd	0.762983	884
mayemusk	0.785698	3161
dishbytrish	0.707386	4349
holleygrainger	0.789044	4365
nourzibdeh	0.780803	2837
biosteelsports	0.447336	21262
christyschomp	0.762674	3773
jeanettejenkins	-0.180338	50000
athleticfoodie	0.532823	12481
allie_rd	0.820659	1333
tarastiles	0.66376	50000
katimorard	0.755072	674
jolieroot	0.532698	1446
shauntfitness	0.210366	50000
lindseyrainh2o	0.442967	4623
kerigans	0.76585	13372
nutritionistsh	0.666635	40606
foodwiserd	0.81834	1571
devinenutrition	0.814044	850
fannetasticfood	0.776388	13783
mindyhermannrd	0.811463	1436
choosingraw	0.68311	22512
janicebissex	0.678779	5860
keriglassman	0.760144	14654
justinekmoore	0.541385	6879
adzfitness	0.328234	50000
f_factor	0.779731	9015
melmacher	0.685043	82
jackiewarner10	0.683904	31596
karenbuch	0.814697	1439
cspi	0.717097	19731
karin_hosenfeld	0.799045	3808
nourishedfully	0.602918	3011
jlevinsonrd	0.762735	7928
dailygarnish	0.74194	10978
laurenswann	0.73369	2690
gobefull	0.821276	501
socalrd	0.801293	2140
kzelmanrd	0.806406	2428
atul_gawande	0.321198	50000
adashofmeg	0.7955	2770
eatsmartbd	0.754978	9274
nutritiongogo	0.771758	10917
nutritioncheck	0.809943	4440
scritchfieldrd	0.764309	11167
kaiserfamfound	0.479625	49097
laurenoconnorrd	0.786112	3190
elisereitshamer	0.806382	372
jenhaugen	0.80396	1240
alexopprd	0.776203	4348
bergmanea	0.823633	2246
wfp	-0.093575	50000
danam_rd	0.695899	1471
gowinnutrition	0.814099	962
schoolmealsrock	0.794289	3340
janabananard	0.817342	883
nutritionexpert	0.654109	18836
goodhealth	0.166032	50000
yonifreedhoff	0.702717	19322
katebyersrd	0.780431	3554
foodhealth	0.775376	2683
usdafoodsafety	0.238304	50000
blogilates	0.304413	50000
menshealthmag	-0.0398826	50000
jumpwithjill	0.725754	2994
zoeharcombe	0.621706	8285
vsrnutrition	0.781295	3573
tobyamidor	0.78209	8806
raeskitchen	0.779105	696
food_tank	0.516117	49998
theiom	0.583265	40682
ocrhealth	0.66832	1507
rdcorinne	0.785298	6706
bengreenfield	0.562581	30243
fitnessgov	0.651298	35572
monicabeardenrd	0.67705	82
thenakedlabel	0.64744	3852
joyofnutrition	0.779663	1840
deniseminger	0.578109	6928
jenncassetta	0.739846	1966
drdavidkatz	0.745794	19362
robinsbite	0.73732	6703
mwbloem	0.230537	50000
bevibranthealth	0.609746	11084
juliedeardorff	0.681949	9864
todaysdietitian	0.792189	19860
mcn_com	0.815282	817
karmanrd	0.771725	1517
brendan_brazier	0.614343	22893
nutrishdishrds	0.748807	339
ramblingsofanrd	0.784737	417
nclarkrd	0.80789	8277
bryanbarksdale	0.644098	791
sharonpalmerrd	0.797285	4341
robynwebb	0.644277	5730
nutribeautiful	0.673014	3128
peterattiamd	0.675833	11880
kimtirapellerd	0.821217	2536
teamnutrition	0.737144	38117
abenderrd	0.795219	424
janedummer	0.749187	2290
cararosenbloom	0.778389	1077
foodsafeguru	0.0126195	50000
jessclay	0.653281	10605
bodybybeata	0.594804	5405
allisonknottrd	0.805843	1430
jamieoliver	-0.122707	50000
thedrginger	0.622933	39342
mcdanielrdn	0.800443	1196
completepantry	0.603983	8977
wholehealthrd	0.793408	3193
jrampoll	0.668056	2702
leangrnbeanblog	0.781914	12677
jbraddockrd	0.789912	1627
kaylacolgrove	0.805898	1158
dambrosiord	0.777296	2116
uarewhatueat	0.761542	1422
scanutritiondpg	0.824129	5833
anappleadayrd	0.799123	1658
janicebakerrd	0.813095	1847
nutritionkids	0.778439	4140
elysesosin	0.794196	3435
nutrition_gov	0.719715	37403
sarahjanerd	0.812168	3431
annchildersmd	0.633019	3976
lizfriedrich	0.7366	375
rbbermanrd	0.785349	4214
fiberfriendly	0.820463	1846
morthancalories	0.754124	622
thousanddays	0.628427	7347
noyfit	0.530844	5901
wholify	0.785971	1789
godrjo	0.72778	435
foodtrainers	0.734989	7959
doriandossrdn	0.798074	1130
thepaleodiet	0.554188	19628
bigfatsurprise	0.622369	3111
travelingrd	0.754366	4075
karengrahamrd	0.782296	664
andriabarrett	0.625234	1151
acf_uk	0.470099	7435
eatright	0.752436	39057
sun_movement	0.6126	4003
bigjam72	0.645096	1092
intuitiverd	0.794575	3754
katescarlata_rd	0.799552	4800
ediblepotential	0.697564	495
tina_ruggiero	0.716472	5117
rd4change	0.78101	564
nutritionblogs	0.761005	23069
pantryparenting	0.799522	340
eatingrd	0.771491	2142
thehealthyapple	0.701588	11072
sproutright	0.622655	4135
alyselevinemsrd	0.787223	946
miltonstokes	0.792871	5748
supermrktsavvy	0.813365	1874
eatingbirdfood	0.762802	12888
williamdavismd	0.687939	12895
gary_sethi	0.518542	42151
helenkellerintl	0.557166	2069
dietitianjanel	0.748824	7675
kathybirkettrdn	0.776509	1504
