date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-31 17:11:35+00:00,"0,0","0,747","0,253"
2019-07-31 17:10:20+00:00,"0,0","0,549","0,451"
2019-07-31 17:06:59+00:00,"0,0","0,496","0,504"
2019-07-31 17:04:09+00:00,"0,0","0,693","0,307"
2019-07-31 17:00:55+00:00,"0,0","0,929","0,071"
2019-07-31 16:56:52+00:00,,,
2019-07-31 16:53:00+00:00,"0,0","1,0","0,0"
2019-07-31 16:50:56+00:00,"0,0","1,0","0,0"
2019-07-31 16:47:19+00:00,"0,0","0,817","0,183"
2019-07-31 16:41:50+00:00,"0,0","0,931","0,069"
2019-07-31 16:40:00+00:00,"0,0","0,686","0,314"
2019-07-31 16:32:54+00:00,,,
2019-07-31 16:31:24+00:00,"0,0","1,0","0,0"
2019-07-31 16:30:21+00:00,"0,0","1,0","0,0"
2019-07-31 16:30:16+00:00,"0,0","0,697","0,303"
2019-07-31 16:28:42+00:00,,,
2019-07-31 16:24:38+00:00,,,
2019-07-31 16:23:02+00:00,,,
2019-07-31 16:22:48+00:00,"0,113","0,887","0,0"
2019-07-31 16:22:40+00:00,,,
2019-07-31 16:20:05+00:00,,,
2019-07-31 16:19:06+00:00,,,
2019-07-31 16:15:12+00:00,"0,081","0,919","0,0"
2019-07-31 16:14:56+00:00,"0,0","1,0","0,0"
2019-07-31 16:06:35+00:00,,,
2019-07-31 16:05:20+00:00,"0,0","1,0","0,0"
2019-07-31 16:05:04+00:00,"0,25","0,698","0,052"
2019-07-31 16:04:33+00:00,,,
2019-07-31 16:01:08+00:00,"0,0","0,816","0,184"
2019-07-31 16:00:23+00:00,,,
2019-07-31 15:59:41+00:00,"0,117","0,883","0,0"
2019-07-31 15:59:32+00:00,"0,0","1,0","0,0"
2019-07-31 15:58:40+00:00,"0,0","1,0","0,0"
2019-07-31 15:57:21+00:00,"0,0","1,0","0,0"
2019-07-31 15:57:06+00:00,"0,172","0,828","0,0"
2019-07-31 15:55:28+00:00,"0,0","1,0","0,0"
2019-07-31 15:52:12+00:00,"0,081","0,919","0,0"
2019-07-31 15:50:49+00:00,"0,0","0,612","0,388"
2019-07-31 15:46:12+00:00,"0,0","1,0","0,0"
