brand,Date,bullish,bearish,polarity
Nike,2020-10-04,3,1,50.0
Nike,2020-10-05,11,2,69.23
Nike,2020-10-06,14,3,64.71
Nike,2020-10-07,6,3,33.33
Nike,2020-10-08,10,20,-33.33
Nike,2020-10-09,13,2,73.33
Nike,2020-10-10,2,0,100.0
Nike,2020-10-11,0,1,-100.0
Nike,2020-10-12,6,1,71.43
Nike,2020-10-13,4,1,60.0
Nike,2020-10-14,1,2,-33.33
Nike,2020-10-15,1,3,-50.0
Nike,2020-10-16,5,0,100.0
Nike,2020-10-17,2,0,100.0
Nike,2020-10-18,2,0,100.0
Nike,2020-10-19,4,2,33.33
Nike,2020-10-20,2,3,-20.0
Nike,2020-10-21,8,4,33.33
Nike,2020-10-22,10,4,42.86
Nike,2020-10-23,5,2,42.86
Nike,2020-10-25,2,1,33.33
Nike,2020-10-26,1,3,-50.0
Nike,2020-10-27,3,2,20.0
Nike,2020-10-28,5,2,42.86
Nike,2020-10-29,1,2,-33.33
Nike,2020-10-30,3,5,-25.0
Nike,2020-10-31,3,0,100.0
Nike,2020-11-01,1,0,100.0
Nike,2020-11-02,2,1,33.33
Nike,2020-11-03,7,1,75.0
Nike,2020-11-04,1,0,100.0
Nike,2020-11-05,1,0,100.0
Nike,2020-11-06,4,1,60.0
Nike,2020-11-07,1,0,100.0
Nike,2020-11-08,1,0,100.0
Nike,2020-11-09,7,2,55.56
Nike,2020-11-10,1,0,100.0
Nike,2020-11-11,3,0,100.0
Nike,2020-11-12,3,0,100.0
Nike,2020-11-13,1,0,100.0
Nike,2020-11-16,4,0,100.0
Nike,2020-11-17,5,2,42.86
Nike,2020-11-18,2,2,0.0
Nike,2020-11-19,3,1,50.0
Nike,2020-11-20,10,0,100.0
Nike,2020-11-22,2,0,100.0
Nike,2020-11-23,6,0,100.0
Nike,2020-11-24,5,0,100.0
Nike,2020-11-25,1,1,0.0
Nike,2020-11-26,5,1,66.67
Nike,2020-11-27,6,3,33.33
Nike,2020-11-28,1,0,100.0
Nike,2020-11-29,1,0,100.0
Nike,2020-11-30,3,2,20.0
Nike,2020-12-01,4,2,33.33
Nike,2020-12-02,4,0,100.0
Nike,2020-12-03,5,1,66.67
Nike,2020-12-04,4,1,60.0
Nike,2020-12-06,2,0,100.0
Nike,2020-12-07,9,1,80.0
Nike,2020-12-08,4,0,100.0
Nike,2020-12-09,3,0,100.0
Nike,2020-12-10,5,1,66.67
Nike,2020-12-11,3,1,50.0
Nike,2020-12-12,3,1,50.0
Nike,2020-12-13,4,0,100.0
Nike,2020-12-14,19,0,100.0
Nike,2020-12-15,23,3,76.92
Nike,2020-12-16,25,1,92.31
Nike,2020-12-17,47,4,84.31
Nike,2020-12-18,192,46,61.34
Nike,2020-12-19,36,6,71.43
Nike,2020-12-20,7,1,75.0
Nike,2020-12-21,88,13,74.26
Nike,2020-12-22,18,3,71.43
Nike,2020-12-23,17,6,47.83
Nike,2020-12-24,10,1,81.82
Nike,2020-12-27,1,0,100.0
Nike,2020-12-28,10,0,100.0
Nike,2020-12-29,8,0,100.0
Nike,2020-12-30,5,0,100.0
Nike,2020-12-31,3,0,100.0
Nike,2021-01-04,1,1,0.0
Nike,2021-01-05,3,1,50.0
Nike,2021-01-06,7,1,75.0
Nike,2021-01-07,2,1,33.33
Nike,2021-01-08,1,2,-33.33
Nike,2021-01-09,13,0,100.0
Nike,2021-01-10,4,0,100.0
Nike,2021-01-11,4,2,33.33
Nike,2021-01-12,4,2,33.33
Nike,2021-01-13,7,1,75.0
Nike,2021-01-14,7,2,55.56
Nike,2021-01-15,8,2,60.0
Nike,2021-01-16,2,0,100.0
Nike,2021-01-17,1,1,0.0
Nike,2021-01-18,2,1,33.33
Nike,2021-01-19,4,1,60.0
Nike,2021-01-20,11,1,83.33
Nike,2021-01-21,2,1,33.33
Nike,2021-01-22,4,0,100.0
Nike,2021-01-24,1,1,0.0
Nike,2021-01-25,13,1,85.71
Nike,2021-01-26,16,0,100.0
Nike,2021-01-27,26,0,100.0
Nike,2021-01-28,14,0,100.0
Nike,2021-01-29,7,0,100.0
Nike,2021-01-30,1,0,100.0
Nike,2021-01-31,5,0,100.0
Nike,2021-02-01,6,0,100.0
Nike,2021-02-02,14,1,86.67
Nike,2021-02-03,8,0,100.0
Nike,2021-02-04,11,1,83.33
Nike,2021-02-05,15,0,100.0
Nike,2021-02-06,3,0,100.0
Nike,2021-02-07,7,0,100.0
Nike,2021-02-08,13,7,30.0
Nike,2021-02-09,7,1,75.0
Nike,2021-02-10,4,0,100.0
Nike,2021-02-11,6,2,50.0
Nike,2021-02-12,4,0,100.0
Nike,2021-02-13,4,0,100.0
Nike,2021-02-15,1,0,100.0
Nike,2021-02-16,7,1,75.0
Nike,2021-02-17,3,1,50.0
Nike,2021-02-18,9,3,50.0
Nike,2021-02-19,7,1,75.0
Nike,2021-02-20,1,0,100.0
Nike,2021-02-21,9,2,63.64
Nike,2021-02-22,2,0,100.0
Nike,2021-02-23,5,2,42.86
Nike,2021-02-24,6,4,20.0
Nike,2021-02-25,7,0,100.0
Nike,2021-02-26,5,0,100.0
Nike,2021-02-27,3,0,100.0
Nike,2021-02-28,2,0,100.0
Nike,2021-03-01,8,0,100.0
Nike,2021-03-02,5,3,25.0
Nike,2021-03-03,3,1,50.0
Nike,2021-03-04,3,0,100.0
Nike,2021-03-05,0,1,-100.0
Nike,2021-03-06,0,1,-100.0
Nike,2021-03-07,2,0,100.0
Nike,2021-03-08,1,0,100.0
Nike,2021-03-09,4,0,100.0
Nike,2021-03-10,5,0,100.0
Nike,2021-03-11,9,1,80.0
Nike,2021-03-12,10,3,53.85
Nike,2021-03-13,1,3,-50.0
Nike,2021-03-14,4,1,60.0
Nike,2021-03-15,24,1,92.0
Nike,2021-03-16,16,2,77.78
Nike,2021-03-17,13,4,52.94
Nike,2021-03-18,57,24,40.74
Nike,2021-03-19,52,28,30.0
Nike,2021-03-20,9,0,100.0
Nike,2021-03-21,13,0,100.0
Nike,2021-03-22,21,4,68.0
Nike,2021-03-23,13,2,73.33
Nike,2021-03-24,5,2,42.86
Nike,2021-03-25,38,35,4.11
Nike,2021-03-26,14,17,-9.68
Nike,2021-03-27,2,4,-33.33
Nike,2021-03-28,2,6,-50.0
Nike,2021-03-29,9,6,20.0
Nike,2021-03-30,15,4,57.89
Nike,2021-03-31,8,2,60.0
Nike,2021-04-01,3,1,50.0
Nike,2021-04-02,2,1,33.33
Nike,2021-04-03,2,0,100.0
Nike,2021-04-04,1,0,100.0
Nike,2021-04-05,4,0,100.0
Nike,2021-04-06,6,0,100.0
Nike,2021-04-07,8,1,77.78
Nike,2021-04-08,10,2,66.67
Nike,2021-04-09,2,2,0.0
Nike,2021-04-10,1,0,100.0
Nike,2021-04-11,3,0,100.0
Nike,2021-04-12,10,0,100.0
Nike,2021-04-13,9,3,50.0
Nike,2021-04-14,7,2,55.56
Nike,2021-04-15,3,0,100.0
Nike,2021-04-16,7,1,75.0
Nike,2021-04-18,2,0,100.0
Nike,2021-04-19,3,3,0.0
Nike,2021-04-20,13,7,30.0
Nike,2021-04-21,16,16,0.0
Nike,2021-04-22,4,20,-66.67
Nike,2021-04-23,10,6,25.0
Nike,2021-04-24,2,0,100.0
Nike,2021-04-25,2,0,100.0
